Step,Score
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,10
22,20
23,20
24,20
25,20
26,30
27,30
28,30
29,30
30,40
31,40
32,40
33,30
34,30
35,40
36,40
37,30
38,20
39,30
40,10
41,10
42,0
43,-10
44,0
45,-10
46,-10
47,-10
48,-10
49,-10
50,-10
51,-10
52,-10
53,-10
54,-10
55,0
56,-10
57,-10
58,-10
59,-10
60,-10
61,-10
62,-10
63,-10
64,-10
65,-20
66,-30
67,-30
68,-40
69,-40
70,-40
71,-30
72,-40
73,-40
74,-40
75,-50
76,-50
77,-60
78,-60
79,-60
80,-70
81,-80
82,-80
83,-90
84,-110
85,-110
86,-110
87,-110
88,-120
89,-140
90,-130
91,-130
92,-130
93,-130
94,-130
95,-130
96,-130
97,-140
98,-140
99,-130
100,-130
101,-130
102,-130
103,-120
104,-120
105,-120
106,-120
107,-120
108,-120
109,-130
110,-140
111,-140
112,-140
113,-140
114,-140
115,-140
116,-140
117,-140
118,-140
119,-140
120,-140
121,-140
122,-140
123,-130
124,-130
125,-130
126,-120
127,-120
128,-120
129,-120
130,-120
131,-120
132,-120
133,-120
134,-120
135,-120
136,-130
137,-130
138,-130
139,-130
140,-130
141,-130
142,-130
143,-130
144,-130
145,-130
146,-130
147,-130
148,-140
149,-140
150,-140
151,-140
152,-140
153,-140
154,-140
155,-140
156,-140
157,-140
158,-140
159,-140
160,-140
161,-140
162,-140
163,-180
164,-210
165,-220
166,-250
167,-250
168,-250
169,-250
170,-250
171,-250
172,-250
173,-250
174,-250
175,-250
176,-250
177,-250
178,-250
179,-250
180,-250
181,-250
182,-250
183,-250
184,-250
185,-250
186,-250
187,-250
188,-250
189,-250
190,-250
191,-250
192,-250
193,-250
194,-250
195,-250
196,-250
197,-250
198,-250
199,-250
200,-250
201,-250
202,-250
203,-250
204,-250
205,-250
206,-250
207,-250
208,-250
209,-250
210,-250
211,-250
212,-250
213,-250
214,-250
215,-250
216,-250
217,-250
218,-250
219,-250
220,-250
221,-250
222,-250
223,-250
224,-250
225,-250
226,-250
227,-250
228,-250
229,-250
230,-250
231,-250
232,-250
233,-250
234,-250
235,-250
236,-250
237,-250
238,-250
239,-250
240,-250
241,-250
242,-250
243,-250
244,-250
245,-250
246,-250
247,-250
248,-250
249,-250
250,-250
251,-250
252,-250
253,-250
254,-250
255,-250
256,-250
257,-250
258,-250
259,-250
260,-250
261,-250
262,-250
263,-250
264,-250
265,-250
266,-250
267,-250
268,-250
269,-250
270,-250
271,-250
272,-250
273,-250
274,-250
275,-250
276,-250
277,-250
278,-250
279,-250
280,-250
281,-250
282,-250
283,-250
284,-250
285,-250
286,-250
287,-250
288,-250
289,-250
290,-250
291,-250
292,-250
293,-250
294,-250
295,-250
296,-250
297,-250
298,-250
299,-250
300,-250
301,-250
302,-250
303,-250
304,-250
305,-250
306,-250
307,-250
308,-250
309,-250
310,-250
311,-250
312,-250
313,-250
314,-250
315,-250
316,-250
317,-250
318,-250
319,-250
320,-250
321,-250
322,-250
323,-250
324,-250
325,-250
326,-250
327,-250
328,-250
329,-250
330,-250
331,-250
332,-250
333,-250
334,-250
335,-250
336,-250
337,-250
338,-250
339,-250
340,-250
341,-250
342,-250
343,-250
344,-250
345,-250
346,-250
347,-250
348,-250
349,-250
350,-250
351,-250
352,-250
353,-250
354,-250
355,-250
356,-250
357,-250
358,-250
359,-250
360,-250
361,-250
362,-250
363,-250
364,-250
365,-250
366,-250
367,-250
368,-250
369,-250
370,-250
371,-250
372,-250
373,-250
374,-250
375,-250
